Layer,Index1,Index2,Index3
conv1,65,41,46
fc1,41,82,28
fc2,58,92,90
conv1,95,35,76
conv2,58,0,16
fc1,43,63,93
fc1,29,91,10
fc2,63,82,47
conv1,10,84,39
fc1,81,47,66
conv1,59,71,98
fc1,90,8,18
fc2,57,54,29
conv2,4,27,97
fc1,75,90,2
conv1,32,49,38
conv1,48,81,54
fc2,20,90,29
fc2,62,18,23
conv1,37,52,31
conv1,68,1,28
fc1,27,93,53
conv2,85,94,58
fc2,85,61,22
fc2,21,63,99
fc2,17,11,6
fc2,17,89,36
fc1,85,92,7
conv1,92,20,35
fc2,82,20,29
fc2,56,43,62
fc2,39,88,3
conv1,43,50,96
fc2,70,11,65
fc1,55,0,1
fc2,28,54,77
conv2,73,79,20
fc2,39,69,21
conv1,80,20,64
conv2,68,69,80
fc2,92,46,96
conv1,87,72,38
fc2,62,31,29
conv1,33,92,5
conv1,45,62,91
conv1,2,79,36
conv1,12,47,28
conv2,21,94,72
conv2,13,51,10
conv1,31,72,5
fc1,22,25,6
fc2,38,87,89
conv2,50,94,0
conv2,38,15,56
fc2,30,83,32
conv2,54,48,29
conv1,5,66,51
conv2,60,5,13
conv1,7,21,81
conv1,21,15,90
fc2,21,81,36
conv1,94,49,95
conv2,89,65,14
fc1,53,28,38
fc2,51,88,80
conv1,84,9,18
fc2,94,40,70
fc1,54,9,72
conv1,0,17,69
conv1,23,37,55
fc2,59,22,49
fc1,57,38,66
conv2,41,98,60
conv2,23,98,64
fc1,50,60,18
conv1,51,10,34
fc1,39,12,9
fc2,4,43,19
conv2,96,55,44
conv2,88,85,40
conv1,28,54,37
conv1,51,2,62
fc2,26,88,97
conv1,87,44,80
conv2,86,56,66
fc1,71,18,35
conv2,68,62,62
conv2,66,14,64
fc2,75,90,14
fc2,85,25,90
fc1,80,95,71
fc1,44,6,73
conv2,68,56,50
fc2,71,42,62
fc1,64,76,90
fc1,51,46,47
conv1,55,98,11
conv2,35,40,88
conv2,25,45,77
conv1,64,75,66
fc1,78,12,19
conv2,52,2,46
conv1,19,48,80
fc1,59,99,80
conv2,86,56,69
fc2,42,3,85
fc2,94,71,44
conv2,96,77,35
conv2,83,61,6
fc1,30,14,71
conv2,96,6,86
fc1,24,48,82
fc2,62,67,93
conv2,26,33,51
fc2,53,88,83
fc2,60,43,13
conv2,7,2,67
fc1,12,62,24
fc1,85,12,97
fc1,28,59,1
fc1,4,75,92
fc1,44,51,34
fc2,94,29,19
conv2,8,39,56
conv2,31,89,7
fc1,1,26,17
conv2,81,95,95
conv2,68,58,28
fc1,21,38,13
fc2,85,17,26
conv2,22,22,18
conv1,87,52,72
fc1,0,27,69
conv2,26,47,47
conv2,51,57,53
fc2,68,8,82
conv1,3,76,32
conv2,81,1,63
fc2,80,78,90
fc1,61,70,25
conv1,63,54,40
conv2,65,41,45
fc1,60,34,48
conv1,30,45,48
conv1,54,57,91
fc1,24,73,20
fc2,28,27,99
conv1,6,7,60
fc1,97,21,2
conv2,72,66,98
conv1,21,49,65
conv1,23,47,16
fc2,94,91,95
fc2,5,66,1
fc2,68,77,40
conv1,46,39,70
conv1,52,73,16
conv1,15,68,20
conv2,34,55,58
conv2,63,95,0
fc2,25,74,56
conv2,89,1,30
fc1,30,69,93
conv1,52,55,65
fc1,56,29,46
conv1,63,72,12
fc1,29,83,5
conv1,26,73,25
conv1,56,13,61
fc1,85,53,7
fc2,29,85,84
fc2,50,89,79
conv2,8,59,54
fc1,50,11,45
conv1,83,89,27
fc2,72,81,86
fc1,82,74,67
fc1,20,4,80
conv1,19,62,31
conv2,2,94,12
fc1,67,11,76
fc1,15,65,96
fc2,56,15,62
conv2,21,77,82
conv2,81,38,48
conv2,52,52,41
fc2,65,2,91
fc2,66,76,0
fc1,51,38,32
conv2,94,35,1
conv2,22,29,85
conv2,18,24,17
fc1,83,60,77
fc2,0,10,33
fc2,87,22,57
fc1,37,56,49
fc1,33,37,18
fc1,70,12,41
conv1,44,80,40
fc2,14,75,96
fc1,22,98,12
conv1,22,21,21
fc1,47,22,64
fc1,81,97,44
conv1,5,10,32
fc2,80,34,74
fc2,25,97,70
fc1,42,89,24
fc1,77,7,24
fc1,93,48,5
conv1,78,86,4
fc2,49,47,86
conv1,68,57,40
conv2,18,89,36
fc2,10,31,99
conv2,19,12,54
conv1,34,36,68
fc1,88,27,2
fc2,53,6,5
fc1,11,97,51
fc2,6,65,86
conv1,68,43,31
conv2,73,15,1
conv2,80,0,93
fc2,65,12,85
conv1,25,16,25
conv2,90,44,66
fc1,51,6,8
conv1,77,59,8
conv2,9,48,29
conv2,64,99,35
conv1,21,86,51
conv1,82,23,17
conv2,52,32,13
fc2,92,51,28
conv2,64,66,1
conv2,42,42,29
fc1,29,14,19
conv1,24,41,88
fc1,76,86,65
fc2,83,27,79
fc2,52,69,71
conv2,44,82,84
fc1,18,19,30
conv1,83,39,48
fc2,68,97,26
conv2,55,57,74
conv2,76,66,53
fc2,62,79,99
fc1,49,36,37
conv1,49,81,20
conv2,90,81,67
conv1,40,90,8
fc2,68,2,24
conv1,55,21,2
fc2,38,21,34
fc2,13,8,79
conv1,56,28,98
fc1,21,81,83
fc1,79,4,71
fc1,90,85,40
conv2,76,24,88
conv1,19,46,33
fc2,52,31,25
conv1,18,25,80
conv2,99,5,23
fc2,59,15,10
fc2,61,69,61
fc1,37,34,68
conv2,64,40,88
conv2,0,14,66
conv2,79,18,43
fc2,85,15,18
fc2,52,70,12
conv2,96,78,14
conv2,69,37,74
fc2,7,32,56
conv2,99,30,59
conv2,84,71,49
fc1,42,46,35
fc2,51,83,5
fc1,50,60,78
fc1,29,96,90
fc1,77,91,63
fc1,3,76,12
conv2,15,64,93
conv1,57,22,18
conv1,75,75,46
fc2,42,76,80
conv2,30,46,11
fc1,12,13,3
conv1,40,44,90
conv2,84,34,76
fc2,91,14,93
fc1,74,8,88
conv1,2,44,63
conv1,83,69,39
fc1,95,3,76
conv1,2,59,64
conv1,74,33,23
conv2,57,78,90
conv2,72,68,2
fc1,30,86,16
conv1,98,38,9
conv1,4,22,35
conv1,38,85,63
conv1,98,46,60
fc1,63,14,68
fc2,66,28,3
conv2,60,73,52
fc1,24,96,18
fc2,76,38,72
fc2,16,88,17
conv2,76,84,63
conv2,35,48,31
fc1,27,18,90
fc2,10,72,16
conv1,69,58,37
fc2,70,53,48
conv1,32,91,31
fc1,59,80,66
fc2,13,13,72
fc2,43,75,60
conv1,78,17,72
fc1,37,65,31
fc1,13,60,17
fc1,22,60,35
conv2,25,35,30
conv1,45,46,49
conv2,98,64,15
conv2,22,30,50
conv2,88,93,84
fc2,64,33,73
fc1,1,17,90
conv1,58,84,54
conv2,65,71,52
fc1,67,35,50
fc2,79,41,18
conv2,60,87,99
fc1,0,38,8
conv2,77,8,78
conv2,92,10,68
conv2,79,70,54
conv1,18,52,60
conv2,53,57,7
fc1,70,5,14
fc1,70,85,61
fc1,67,41,31
conv1,66,40,95
conv2,35,2,94
conv1,49,42,13
fc2,95,81,73
fc1,8,67,79
fc1,33,47,36
fc1,17,1,85
conv1,30,28,27
fc1,29,82,7
fc2,61,2,71
conv1,51,3,26
conv1,95,78,26
fc2,29,66,93
conv2,59,19,84
conv1,62,85,51
conv1,24,72,7
conv1,33,21,51
conv1,52,14,17
conv2,31,37,39
conv2,70,9,86
conv1,0,34,40
conv2,47,44,85
fc2,4,66,39
conv2,77,14,63
fc2,53,15,31
fc2,36,63,77
conv2,99,70,38
fc1,93,86,83
conv1,8,19,78
conv1,13,54,88
conv1,34,44,92
conv2,52,22,87
fc2,73,47,96
conv1,87,67,5
fc1,89,85,70
fc1,87,44,80
fc1,90,14,27
conv2,40,72,97
conv2,85,89,10
fc1,73,61,50
conv1,18,73,92
fc1,10,72,60
conv1,5,71,90
conv1,94,48,34
conv1,33,63,11
fc2,31,88,50
fc1,46,0,85
conv2,24,2,6
conv1,90,36,7
fc1,29,54,39
fc2,32,18,17
conv2,74,71,88
conv1,41,22,62
fc1,81,49,40
conv2,74,96,57
conv2,68,0,90
fc1,74,39,74
conv2,19,24,9
conv2,25,40,98
conv1,37,26,53
conv1,98,64,86
fc2,37,3,9
conv1,92,89,63
conv1,90,4,29
fc1,71,89,38
conv1,6,95,96
conv2,38,83,35
conv1,51,11,37
conv1,3,12,65
fc1,6,88,24
conv2,26,34,93
fc1,22,77,30
conv1,34,70,31
conv1,95,71,13
conv1,73,59,81
fc2,57,39,54
fc1,5,15,1
conv2,98,89,91
fc2,57,81,15
fc2,95,29,68
conv1,19,80,82
conv1,45,64,13
conv2,32,79,36
fc1,42,40,11
conv1,60,18,28
fc2,53,99,65
fc2,11,50,39
fc2,86,38,67
fc1,20,2,10
fc1,84,80,79
conv2,32,77,35
fc2,75,32,41
conv1,0,21,8
fc2,4,60,73
fc2,2,46,72
fc2,20,61,38
conv2,24,3,80
conv2,80,52,56
fc2,8,37,75
fc2,71,56,70
conv1,74,37,43
conv1,62,38,11
conv1,71,58,93
fc2,13,37,18
conv1,49,16,32
fc1,54,3,60
conv2,17,23,82
fc2,1,4,86
conv2,7,19,99
fc1,36,35,23
conv2,91,87,63
conv1,66,13,82
fc1,77,1,19
fc1,16,59,52
fc2,72,40,15
fc1,94,45,6
fc2,36,35,63
conv2,56,4,96
conv1,31,22,35
fc2,74,36,80
conv1,16,31,4
fc2,49,78,53
conv2,94,2,86
fc1,29,10,35
fc2,24,16,67
fc2,86,1,90
conv1,72,86,25
fc2,1,75,99
conv1,48,57,68
conv1,49,43,52
fc2,67,69,35
conv1,36,84,98
conv1,36,10,78
conv1,3,94,63
conv2,94,75,43
fc1,36,16,19
fc1,68,49,25
conv2,61,50,38
fc2,30,47,75
fc1,76,42,41
fc1,93,91,34
conv2,46,30,57
fc2,65,64,74
conv2,60,70,98
fc1,91,95,42
fc1,29,27,23
conv2,19,69,53
fc2,5,1,40
conv2,13,92,42
fc2,83,37,11
conv2,52,36,32
conv1,98,43,45
fc2,71,80,17
conv1,3,99,3
conv1,62,48,47
conv2,25,84,70
fc2,37,7,84
fc1,89,71,83
fc2,40,91,8
conv2,33,15,67
conv1,24,17,94
fc2,52,10,27
conv2,15,88,44
conv2,18,36,98
fc2,37,28,85
conv1,88,2,65
fc2,16,15,42
conv2,84,89,86
conv2,1,61,72
conv2,13,21,12
fc1,93,30,74
conv2,11,25,22
conv2,52,2,4
conv2,84,91,8
conv2,10,83,63
fc2,94,81,54
conv1,18,13,24
fc2,19,8,91
fc2,63,24,38
fc2,65,22,73
fc2,0,36,80
conv2,86,8,53
fc1,13,13,76
fc1,7,9,26
fc2,12,67,70
conv1,45,30,54
fc1,86,61,62
fc2,77,12,51
fc1,22,31,81
conv1,41,94,18
conv2,93,57,28
fc1,77,55,90
conv1,41,21,66
conv1,67,28,44
fc1,56,30,83
fc1,15,99,80
fc2,18,45,76
fc2,29,97,86
fc1,88,5,93
conv1,4,93,69
fc2,1,25,0
conv2,18,90,24
fc1,48,96,90
conv2,43,3,58
fc1,46,89,9
fc2,85,2,34
conv1,46,65,11
conv1,11,60,35
conv2,82,5,97
fc2,53,60,29
conv2,39,62,51
conv1,7,10,50
conv2,77,87,96
conv1,41,83,65
conv2,76,59,52
conv1,48,51,45
conv1,57,28,90
fc1,15,57,72
conv1,73,89,70
conv2,6,10,45
fc2,44,11,54
conv2,39,0,62
conv1,29,84,53
conv1,97,21,10
conv2,79,73,0
conv1,44,37,72
conv2,63,54,64
conv2,16,6,50
conv2,13,64,43
conv1,16,99,78
conv1,67,31,13
fc2,12,69,69
fc1,0,58,63
conv1,6,85,52
conv2,62,2,55
conv2,94,52,96
fc2,66,81,31
fc1,83,81,96
fc2,77,81,52
fc1,28,92,87
fc2,19,58,30
conv2,95,73,24
conv2,43,46,35
conv1,65,82,33
fc1,94,73,5
fc1,68,9,45
conv1,33,63,18
fc1,41,84,37
fc1,68,58,62
conv2,67,7,89
fc2,60,82,40
fc1,32,15,76
fc1,31,33,49
fc2,49,26,0
fc1,69,74,57
fc2,27,79,11
conv1,90,95,22
conv1,41,73,63
conv2,22,6,75
conv1,73,97,63
fc2,58,56,39
conv1,19,67,76
conv2,13,53,66
fc1,43,68,18
fc1,50,35,70
conv2,10,74,88
conv2,0,16,25
fc1,79,96,65
conv1,63,52,4
fc2,34,34,58
conv1,53,29,59
conv2,46,34,87
conv2,59,49,53
fc1,4,22,23
conv2,89,9,35
fc1,99,25,35
conv1,28,69,97
fc1,43,24,58
fc2,50,66,91
conv1,5,51,53
conv2,69,44,95
conv2,80,44,85
fc1,22,35,42
conv1,26,28,74
fc2,54,78,83
fc1,40,91,30
conv1,49,50,84
conv1,56,58,67
fc2,93,22,78
conv2,35,3,27
fc1,43,79,71
conv1,37,85,0
conv1,9,66,9
fc2,33,73,77
conv2,74,46,57
conv1,12,98,32
fc1,91,43,38
fc2,22,83,42
fc2,45,77,79
conv2,2,87,35
conv1,56,30,95
conv2,58,20,3
fc1,2,47,91
fc2,32,3,53
conv1,54,99,37
fc2,49,80,35
conv1,72,53,62
fc2,12,83,5
conv1,43,30,65
fc2,67,77,36
conv1,50,71,59
fc1,32,38,99
conv2,45,64,94
fc2,20,49,97
fc2,44,78,12
conv1,55,59,43
conv1,89,0,25
fc2,76,55,72
conv2,37,97,14
conv2,83,39,79
fc1,16,60,13
conv1,67,28,88
conv1,81,77,64
conv1,52,45,69
conv2,76,38,89
conv1,12,51,82
fc2,2,90,77
fc2,7,46,61
conv1,79,94,45
fc1,19,21,87
conv1,65,23,47
fc2,14,35,13
fc1,32,62,44
fc2,38,50,31
conv1,17,6,10
fc1,92,15,95
conv2,2,29,5
fc2,74,76,15
conv1,77,71,41
fc2,65,88,8
conv1,27,16,52
conv1,93,68,77
conv2,78,1,80
fc2,40,27,90
fc1,82,61,39
conv1,40,49,66
conv2,48,44,31
conv1,67,17,20
conv2,63,70,61
fc2,12,29,80
conv2,27,39,11
fc1,26,16,54
conv1,26,15,6
conv2,68,41,84
fc2,20,48,68
conv1,62,30,20
conv2,38,9,68
conv2,83,99,28
fc1,89,28,77
fc1,66,57,13
conv1,44,83,37
conv1,91,25,91
fc2,86,72,20
conv1,2,55,33
fc1,21,3,92
conv1,50,24,42
conv2,81,29,70
conv1,90,43,65
